epoch,lr,train_loss,test_loss,top1,top5,best_top1,best_top5
201,0.010000000000000002,2.266561205062866,2.8085660331726072,49.01,75.33,53.51,78.67
202,0.010000000000000002,2.2627438802337645,2.753735942840576,49.47,75.8,53.51,78.67
203,0.010000000000000002,2.265125584335327,2.7053248542785644,50.33,76.08,53.51,78.67
204,0.010000000000000002,2.2673178102111815,2.7192695838928223,50.17,76.18,53.51,78.67
205,0.010000000000000002,2.257927148132324,2.7904240379333496,48.57,74.94,53.51,78.67
206,0.010000000000000002,2.261829208984375,2.716303776550293,49.59,75.82,53.51,78.67
207,0.010000000000000002,2.2543783012390137,2.8087500114440918,48.27,74.48,53.51,78.67
208,0.010000000000000002,2.2569124589538574,2.7222888885498047,49.44,75.91,53.51,78.67
209,0.010000000000000002,2.25804561126709,2.7520336181640626,49.57,75.02,53.51,78.67
210,0.010000000000000002,2.2565110025024415,2.7382977046966555,49.26,75.99,53.51,78.67
211,0.010000000000000002,2.2470221251678466,2.709421097946167,50.12,76.37,53.51,78.67
212,0.010000000000000002,2.2494628995513914,2.6855008586883544,51.3,76.96,53.51,78.67
213,0.010000000000000002,2.2465174906158447,2.7674369918823243,48.56,74.93,53.51,78.67
214,0.010000000000000002,2.2488736476135256,2.7083973011016846,50.18,76.04,53.51,78.67
215,0.010000000000000002,2.243449473724365,2.7155212242126465,50.73,76.04,53.51,78.67
216,0.010000000000000002,2.244901214294434,2.67237989654541,51.01,76.62,53.51,78.67
217,0.010000000000000002,2.2434720407104494,2.6878183124542234,51.22,76.81,53.51,78.67
218,0.010000000000000002,2.2407649723815917,2.696478573036194,50.61,76.45,53.51,78.67
219,0.010000000000000002,2.2381724723815917,2.7136104076385497,50.59,76.42,53.51,78.67
220,0.010000000000000002,2.2391248556518555,2.734515577316284,50.2,75.47,53.51,78.67
221,0.010000000000000002,2.2348919243621825,2.676423816680908,51.26,76.87,53.51,78.67
222,0.010000000000000002,2.2346573041534423,2.6810209926605224,50.83,77.13,53.51,78.67
223,0.010000000000000002,2.2370908042907716,2.718916469192505,50.46,75.94,53.51,78.67
224,0.010000000000000002,2.233121019897461,2.672000828552246,51.55,77.28,53.51,78.67
225,0.010000000000000002,2.2329535568237304,2.716056832885742,51.06,76.69,53.51,78.67
226,0.0010000000000000002,2.004750881347656,2.4171815433502197,58.16,82.09,58.16,82.09
227,0.0010000000000000002,1.9458003234863281,2.41053597946167,58.22,81.85,58.22,81.85
228,0.0010000000000000002,1.9198606203079223,2.413613734817505,58.6,81.98,58.6,81.98
229,0.0010000000000000002,1.9076163090515137,2.420050902557373,58.73,81.59,58.73,81.59
230,0.0010000000000000002,1.8952157006835937,2.4224802871704103,58.32,81.82,58.73,81.59
231,0.0010000000000000002,1.8844183236694336,2.41412186126709,58.58,81.63,58.73,81.59
232,0.0010000000000000002,1.8778730158233643,2.416507358932495,58.35,81.69,58.73,81.59
233,0.0010000000000000002,1.8678310655212402,2.4259018127441405,58.58,81.59,58.73,81.59
234,0.0010000000000000002,1.8619744402313232,2.429393214416504,58.18,81.56,58.73,81.59
235,0.0010000000000000002,1.8553110302734375,2.4277037071228027,58.35,81.53,58.73,81.59
236,0.0010000000000000002,1.8526678522491455,2.4343237442016603,57.89,81.2,58.73,81.59
237,0.0010000000000000002,1.8465999398803712,2.437730916595459,57.89,81.68,58.73,81.59
238,0.0010000000000000002,1.8391097156524658,2.4336022369384764,57.83,81.52,58.73,81.59
239,0.0010000000000000002,1.836959676475525,2.4339305393218993,58.09,81.39,58.73,81.59
240,0.0010000000000000002,1.8315372290802001,2.439443016433716,57.84,81.47,58.73,81.59
241,0.0010000000000000002,1.8280957164001466,2.441118176651001,58.01,81.19,58.73,81.59
242,0.0010000000000000002,1.8224889957427979,2.4429765411376954,58.02,81.34,58.73,81.59
243,0.0010000000000000002,1.8193904306793214,2.4495362800598146,57.77,81.14,58.73,81.59
244,0.0010000000000000002,1.8148008740234376,2.447441262435913,57.94,81.23,58.73,81.59
245,0.0010000000000000002,1.8125699918365479,2.4480356277465822,57.93,81.14,58.73,81.59
246,0.0010000000000000002,1.8070155220794677,2.4496838138580324,57.99,81.21,58.73,81.59
247,0.0010000000000000002,1.8060169525146483,2.458638779830933,57.76,81.16,58.73,81.59
248,0.0010000000000000002,1.802622886581421,2.4584922718048094,57.75,80.85,58.73,81.59
249,0.0010000000000000002,1.7989061055374145,2.464930102157593,57.98,81.12,58.73,81.59
250,0.0010000000000000002,1.7988923242950439,2.47066928024292,57.33,80.85,58.73,81.59
251,0.0010000000000000002,1.793090853729248,2.4717573921203613,57.69,80.78,58.73,81.59
252,0.0010000000000000002,1.7894821807861327,2.4744524391174316,57.48,80.94,58.73,81.59
253,0.0010000000000000002,1.7870212970733643,2.4671851539611818,57.85,81.28,58.73,81.59
254,0.0010000000000000002,1.783971174659729,2.4711807117462157,57.33,80.74,58.73,81.59
255,0.0010000000000000002,1.7825950998687745,2.476245716094971,57.13,80.76,58.73,81.59
256,0.0010000000000000002,1.7782097256088256,2.481286357116699,57.17,80.75,58.73,81.59
257,0.0010000000000000002,1.777773044166565,2.487160258102417,57.22,80.78,58.73,81.59
258,0.0010000000000000002,1.776424984741211,2.4789123260498047,57.16,80.83,58.73,81.59
259,0.0010000000000000002,1.7716191761016846,2.4971480278015137,57.37,80.76,58.73,81.59
