epoch,lr,stage,train_loss,test_acc,test_loss,group_sparsity,avg_bitwidth,bit_pressure,quant_error
1,0.05,warm-up,0.1927547878408432,87.89,0.36047493958473203,0.0,10.413582665579659,0.6983021668025426,0.0011828707491596496
2,0.04999451708687114,warm-up,0.1889839313220978,84.6,0.4969526362419128,0.0,9.736229147229876,0.7829713565962655,0.0025336122240072916
3,0.04997807075247146,warm-up,0.20824950735092163,83.36,0.5226943048000335,0.0,9.178669588906425,0.8526663013866969,0.0025916416863245623
4,0.04995066821070679,warm-up,0.22373529861450195,83.4,0.5057459415912628,0.0,10.256901468549456,0.717887316431318,0.0020906363060930744
5,0.049912321481237615,warm-up,0.2258722299003601,77.13,0.7981298331260681,0.0,9.435457093375069,0.8205678633281164,0.002957372778577597
6,0.049863047384206834,warm-up,0.23115681650161743,84.92,0.47109594192504883,0.0,9.373450824192592,0.828318646975926,0.0032014039544654743
7,0.04980286753286195,warm-up,0.22948615128040314,84.13,0.49690448031425477,0.0,9.383146149771553,0.8271067312785558,0.0037371255987506758
8,0.049731808324074714,warm-up,0.23300122179985047,84.54,0.4830915764570236,0.0,10.100327491760254,0.7374590635299683,0.002005301767245068
9,0.04964990092676263,warm-up,0.2352906654071808,83.89,0.48837052249908447,0.0,9.43095861162458,0.8211301735469274,0.00294237192221252
10,0.049557181268217225,warm-up,0.23614727202892302,83.74,0.5101506307125091,0.0,9.257908412388392,0.842761448451451,0.003951484665906589
11,0.049453690018345146,projection,0.2343144770717621,84.59,0.4745836884498596,0.0,8.352570806230817,0.9559286492211478,0.004458111278446657
12,0.04933947257182901,projection,0.2354140978050232,83.76,0.5110243671655655,0.0,8.809089251926967,0.8988638435091292,0.0036278113423447523
13,0.04921457902821578,projection,0.23411191089630126,81.62,0.5622104377746582,0.0,9.923405238560267,0.7595743451799666,0.0028441839094739407
14,0.049079064169941455,projection,0.23778565108299254,85.88,0.4343350665092468,0.0,9.085879598345075,0.8642650502068656,0.003561282463903938
15,0.048932987438301684,projection,0.23401502831459045,86.18,0.4141405930042267,0.0,9.352998529161725,0.8308751838547843,0.0031796816661621313
16,0.048776412907378844,joint,0.3853736704063416,70.93,0.9014623218536377,0.5993303571428571,8.24371065412249,0.9695361682346888,0.00504633950601731
17,0.048609409255937035,joint,0.574642675895691,74.85,0.7472684288978577,0.5993303571428571,8.0,1.0,0.005549679393880069
18,0.04843204973729729,joint,0.5071353175926209,75.63,0.715017942905426,0.5993303571428571,8.0,1.0,0.00569438302357282
19,0.04824441214720629,joint,0.4774169666671753,77.88,0.6481815419197082,0.5993303571428571,7.999999931880406,1.0,0.005847807009039181
20,0.04804657878971252,joint,0.4551507996368408,78.3,0.7014965104103088,0.5993303571428571,7.999999863760812,1.0,0.006047489354386926
21,0.04783863644106502,joint,0.44402959072113035,80.22,0.5896043201446534,0.5993303571428571,7.999999931880406,1.0,0.0062730524223297834
22,0.04762067631165049,joint,0.4314746638584137,78.61,0.6474952300071717,0.5993303571428571,8.0,1.0,0.006497900600412062
23,0.047392794005985325,joint,0.4191580262184143,82.8,0.5188244421958923,0.5993303571428571,8.0,1.0,0.006730222209755864
24,0.04715508948078037,joint,0.4160313519859314,79.11,0.6415060150146484,0.5993303571428571,8.0,1.0,0.006964345196528094
25,0.04690766700109659,joint,0.4052498296070099,82.54,0.5089639271259307,0.5993303571428571,7.999999931880406,1.0,0.007205602912498372
26,0.04665063509461097,joint,0.40439623103141786,82.12,0.5227846815109253,0.5993303571428571,7.999999931880406,1.0,0.007430122799373099
