epoch,lr,stage,kd_ready,recovery_mode,train_total,train_ce,train_kl,train_kd_term,train_fd,test_acc,test_loss,group_sparsity,avg_bitwidth,bit_pressure,quant_error,cakr_severity,teacher_conf,teacher_correct_rate,kd_sample_weight_mean,agreement,disagreement,kd_temperature,kd_weight,effective_kd_coeff,fd_weight
1,0.05,warm-up,0,0,2.7598653244781493,2.7598653244781493,0.7217622872066498,0.0,0.0,63.34,1.9017838191986085,0.0,11.753709248134069,0.5307863439832414,0.0005955894438167368,0.020909444061376417,0.6901318883651968,0.8724024936061381,0.6461664839168949,0.7909292138141134,0.20907078618588654,2.0209094440613766,0.0,0.0,0.0
2,0.04999451708687114,warm-up,0,0,1.437612994995117,1.437612994995117,0.2909914060783386,0.0,0.0,65.9,1.3541390420913697,0.0,11.927211488996234,0.5090985638754708,0.0006557701906006384,0.00772054808693668,0.6898266456621077,0.8711956521434248,0.6454665249265978,0.9245812874620832,0.07541871253791672,2.007720548086936,0.0,0.0,0.0
3,0.04997807075247146,warm-up,0,0,1.0014981447601319,1.0014981447601319,0.15326939454078675,0.0,0.0,61.94,1.3933890295028686,0.0,9.988078662327357,0.7514901672090804,0.0015528095578442194,0.005421908642801518,0.6896438530034117,0.8730338874375424,0.6456674200189693,0.9477482241437868,0.05225177585621319,2.005421908642804,0.0,0.0,0.0
4,0.04995066821070679,warm-up,0,0,0.8972080299568176,0.8972080299568176,0.16988078571319581,0.0,0.0,58.22,1.5589540252685548,0.0,10.797573907034737,0.6503032616206579,0.0012485172956075985,0.00554037832625218,0.6895454397896672,0.8702285806541248,0.6449842545992274,0.9492546454110109,0.0507453545889891,2.0055403783262555,0.0,0.0,0.0
5,0.049912321481237615,warm-up,0,0,0.8516757557487488,0.8516757557487488,0.19884160167694093,0.0,0.0,63.77,1.3024868656158448,0.0,10.520678043365479,0.6849152445793152,0.0013118172355461866,0.00542382215021171,0.6903009204303517,0.8723065857692143,0.6462578422882977,0.9495073303847057,0.05049266961529432,2.005423822150212,0.0,0.0,0.0
6,0.049863047384206834,warm-up,0,0,0.8411990022277832,0.8411990022277832,0.22440722446918487,0.0,0.0,61.12,1.4123307859420777,0.0,10.647880145481654,0.6690149818147932,0.0013376796102550412,0.005663992148620683,0.6902472071940332,0.8737931585372867,0.6466286988819346,0.9472955302204318,0.052704469779568254,2.005663992148623,0.0,0.0,0.0
7,0.04980286753286195,warm-up,0,0,0.8340893499183655,0.8340893499183655,0.24162461762428283,0.0,0.0,61.92,1.4053583755493164,0.0,11.152610506330218,0.6059236867087228,0.0010921807573010614,0.00574502957352794,0.6901759660762289,0.8724144820666984,0.6461463718463087,0.9465627430954857,0.053437256904514244,2.00574502957353,0.0,0.0,0.0
8,0.049731808324074714,warm-up,0,0,0.8397966436767578,0.8397966436767578,0.25471478964805605,0.0,0.0,61.15,1.443431093978882,0.0,10.249001502990723,0.7188748121261597,0.0015361215586641005,0.005887107618243489,0.6897829142982698,0.8726902174217926,0.6461539062697564,0.9444054660894682,0.055594533910531825,2.005887107618241,0.0,0.0,0.0
9,0.04964990092676263,warm-up,0,0,0.8509070829772949,0.8509070829772949,0.2649470436668396,0.0,0.0,60.58,1.4778018091201783,0.0,9.986450059073311,0.7516937426158361,0.0018601275431657477,0.006234029508066516,0.6906008584724973,0.8726862213190865,0.6465159352783048,0.9422680695953272,0.057731930404672845,2.006234029508064,0.0,0.0,0.0
10,0.049557181268217225,warm-up,0,0,0.8482365716934204,0.8482365716934204,0.27114985816955567,0.0,0.0,60.58,1.4674743824005128,0.0,10.64670535496303,0.6691618306296212,0.0016704599007165857,0.006310516097851261,0.6906615001771151,0.8716352301485398,0.6465391373390432,0.9424752216509846,0.05752477834901541,2.0063105160978503,0.0,0.0,0.0
11,0.049453690018345146,projection,0,0,0.8598770619010925,0.8598770619010925,0.2764320566558838,0.0,0.0,60.49,1.480607837486267,0.0,8.177544730050224,0.977806908743722,0.006656544482601541,0.006467780659736937,0.6904595968363535,0.8718230498721228,0.6460551089033142,0.9403335731047804,0.05966642689521965,2.0064677806597397,0.0,0.0,0.0
12,0.04933947257182901,projection,0,0,0.8607905113601685,0.8607905113601685,0.28369755997657775,0.0,0.0,60.8,1.4603713188171388,0.0,9.582452637808663,0.8021934202739172,0.003162819002422371,0.007980214586552238,0.6905323655708976,0.8732536764400999,0.6466073540165601,0.9401674875822823,0.05983251241771766,2.0079802145865506,0.0,0.0,0.0
13,0.04921457902821578,projection,0,0,0.8724254713439942,0.8724254713439942,0.28514294623851777,0.0,0.0,58.94,1.5400978338241578,0.0,9.936313356672015,0.7579608304159982,0.002983360376674682,0.007132124215632675,0.6891971541487653,0.8716232416879796,0.6448577172920832,0.9381672148509403,0.061832785149059634,2.0071321242156355,0.0,0.0,0.0
14,0.049079064169941455,projection,0,0,0.8754676850509644,0.8754676850509644,0.28952591911315917,0.0,0.0,62.8,1.3340204189300537,0.0,10.027637345450264,0.746545331818717,0.003001678826486958,0.007147600762608589,0.6902306485359017,0.8729499680611789,0.6465453054289074,0.9374740735039382,0.06252592649606183,2.0071476007626097,0.0,0.0,0.0
15,0.048932987438301684,projection,0,0,0.8816838408279419,0.8816838408279419,0.2916902076435089,0.0,0.0,61.5,1.391566172504425,0.0,11.27979782649449,0.5900252716881889,0.0018078017637890298,0.0071478051734181584,0.689378438855681,0.8735613810741688,0.6457056575419043,0.9375269847452793,0.0624730152547207,2.0071478051734184,0.0,0.0,0.0
16,0.048776412907378844,joint,0,0,1.6988265335845947,1.6988265335845947,0.37217590483665464,0.0,0.0,26.18,3.0276844383239747,0.5993303571428571,8.149100576128278,0.9813624279839652,0.007100309045719249,0.12660406907246943,0.6910773729119459,0.8727141943429132,0.647021573370375,0.8482082420602783,0.1517917579397216,2.126604069072469,0.0,0.0,0.0
17,0.048609409255937035,joint,0,1,2.2437897883605955,2.2437897883605955,0.43513527614593506,0.0,0.0,37.9,2.4182669441223146,0.5993303571428571,7.999999931880406,1.0,0.007955573266372085,0.23274270088672533,0.6902049346957975,0.8733495844294653,0.6466301563755631,0.7915301682699062,0.20846983173009379,2.23274270088673,0.0,0.0,0.0
18,0.04843204973729729,joint,1,1,2.0327903145980835,2.0178961807250975,0.4027964093017578,0.014894142051637173,0.0,40.4,2.2370600551605224,0.5993303571428571,8.0,1.0,0.008153500501066446,0.23066511893962943,0.6896593715528698,0.8714434143222506,0.6455495372757583,0.814871780402825,0.185128219597175,2.230665118939628,0.007428209790237682,0.03696135855092547,0.0
19,0.04824441214720629,joint,1,1,1.9334596615600586,1.9187913715362548,0.3965059980201721,0.014668287363946438,0.0,44.23,2.0907958820343016,0.5993303571428571,7.999999931880406,1.0,0.00840442324988544,0.22975170043454304,0.6897160965768273,0.8721307545061916,0.6458582978724213,0.8245997471577676,0.1754002528422324,2.229751700434543,0.0074376723611674226,0.03697803032141051,0.0
20,0.04804657878971252,joint,1,0,1.8888751110839843,1.8598789015197754,0.3914048883152008,0.028996211082935333,0.0,44.97,2.0179643926620483,0.5993303571428571,8.0,1.0,0.008702043111303024,0.2291964803786016,0.6905270839286277,0.8737851663318741,0.6472211597520677,0.8309047159636417,0.1690952840363583,2.2291964803786,0.014903651949101291,0.07405962687029984,0.0
21,0.04783863644106502,joint,1,0,1.8449291593933106,1.8162144625854493,0.38771880306243894,0.028714697520136834,0.0,44.8,2.0715200901031494,0.5993303571428571,8.0,1.0,0.009061350620218686,0.22876716051514373,0.6902370814167326,0.8736532928083863,0.6467064664796796,0.8360907741824685,0.1639092258175316,2.2287671605151425,0.014905576409297074,0.07404104411095941,0.0
22,0.04762067631165049,joint,1,0,1.8075012595367432,1.7788430334854126,0.3866679571914673,0.028658226225972177,0.0,39.21,2.3897156826019286,0.5993303571428571,7.999999863760812,1.0,0.009387273574247956,0.22850858060813867,0.6907105615071933,0.871215632961839,0.646294304629421,0.8397544957792668,0.16024550422073325,2.2285085806081346,0.014920821201910706,0.07409952207700773,0.0
23,0.047392794005985325,joint,1,0,1.786403218421936,1.757882006225586,0.38516416385650637,0.02852121015369892,0.0,40.81,2.302796685600281,0.5993303571428571,7.999999931880406,1.0,0.009724412911704608,0.228434003301053,0.6901903382652556,0.8723705243271636,0.646094195678106,0.8414780377122142,0.15852196228778576,2.228434003301054,0.014911044493900053,0.07404594736281407,0.0
24,0.04715508948078037,joint,1,0,1.7648080946731568,1.7363696473693848,0.3842536408901215,0.028438447961211203,0.0,47.81,1.9127771493911743,0.5993303571428571,8.0,1.0,0.010103488673589059,0.22831562351269408,0.6897539176294566,0.8731577686031761,0.6462521379256188,0.8436732536081768,0.15632674639182323,2.228315623512698,0.014903979535916021,0.07400273963544461,0.0
25,0.04690766700109659,joint,1,0,1.7395050186920167,1.7110735915756226,0.38395836569786074,0.02843142548561096,0.0,46.08,2.0020464641571043,0.5993303571428571,7.999999863760812,1.0,0.010475655319169164,0.22815198834407402,0.6902173123396266,0.8726102941481354,0.6465871879816665,0.8464468325800298,0.1535531674199702,2.2281519883440764,0.014917152448027507,0.07405726132912882,0.0
26,0.04665063509461097,joint,1,0,1.733965196685791,1.7057011004638671,0.3821778526687622,0.028264095534086226,0.0,42.96,2.2316163654327394,0.5993303571428571,7.999999931880406,1.0,0.010818861757538148,0.22818902205738964,0.6892048510749017,0.8709838554987213,0.644723724068888,0.8471929953836114,0.15280700461638858,2.2281890220573892,0.014894482064791546,0.07394744921201314,0.0
27,0.04638410650401267,joint,1,0,1.7109214861297608,1.6827721182250976,0.3805410321331024,0.028149368603229523,0.0,42.3,2.223082035446167,0.5993303571428571,7.999999931880406,1.0,0.011179880970822913,0.22805868700368898,0.6894245685823738,0.8728540600718134,0.6458701956302614,0.8495259652357272,0.1504740347642728,2.228058687003695,0.014901742797604261,0.07397485141428266,0.0
28,0.04610819813755038,joint,1,0,1.70080313331604,1.672794315109253,0.37829015140533445,0.028008818124532698,0.0,47.92,1.9406234060287475,0.5993303571428571,8.0,1.0,0.011540933013228434,0.22803362949392694,0.6898290232929123,0.8728740408902278,0.6462888098738687,0.8508595979732015,0.1491404020267984,2.228033629493929,0.014910991973923407,0.07401901494505861,0.0
29,0.04582303101775249,joint,1,0,1.6879429360580445,1.6597709482192993,0.380620346622467,0.028171988382339478,0.0,47.3,1.9873103080749512,0.5993303571428571,7.999999863760812,1.0,0.011936244987217444,0.22798832892156976,0.6897796773544663,0.8723305626903348,0.6458049989722269,0.852395759823987,0.14760424017601306,2.2279883289215685,0.01491082924407075,0.07401509196520296,0.0
30,0.045528730228342605,joint,1,0,1.6739689968872071,1.6459418293380736,0.37844956310272215,0.028027165172696114,0.0,47.77,1.937005757522583,0.5993303571428571,8.0,1.0,0.012295049448896731,0.22800819301430053,0.6902018825111487,0.8733056266899304,0.6465734130586199,0.8533830548186436,0.14661694518135637,2.2280081930142996,0.01491954041451321,0.07405975548815023,0.0
31,0.04522542485937369,joint,1,0,1.6701358591079711,1.6421429009628297,0.3784824034500122,0.027992960207462312,0.0,42.29,2.3186865798950196,0.5993303571428571,7.999999931880406,1.0,0.012624098054532493,0.22802002243210218,0.6892325358317636,0.8699168797649081,0.6441852316222227,0.8543411740256698,0.14565882597433027,2.228020022432105,0.014898366735225167,0.07395542307790394,0.0
