epoch,lr,stage,kd_ready,recovery_mode,train_total,train_ce,train_kl,train_kd_term,train_fd,test_acc,test_loss,group_sparsity,avg_bitwidth,bit_pressure,quant_error,cakr_severity,teacher_conf,teacher_correct_rate,kd_sample_weight_mean,agreement,disagreement,kd_temperature,kd_weight,effective_kd_coeff,fd_weight
1,0.05,warm-up,0,0,2.6528714740753174,2.6528714740753174,0.6432728344535827,0.0,0.0,50.47,2.2787489978790285,0.0,12.746529715401786,0.4066837855747767,0.0008278937686035144,0.01704477681583824,0.6476990729189285,0.8560781649616368,0.6085407316227398,0.829762615053855,0.17023738494614507,2.017044776815835,0.0,0.0,0.0
2,0.04998766400914329,warm-up,0,0,1.778358602256775,1.778358602256775,0.3146987083148956,0.0,0.0,42.62,2.4727207790374757,0.0,12.512408529009138,0.4359489338738578,0.0012668291830258177,0.01032943995068158,0.6474259307469858,0.8576666400255755,0.608894612554394,0.8991892817989945,0.10081071820100555,2.010329439950686,0.0,0.0,0.0
3,0.04995066821070679,warm-up,0,0,1.7417468387985229,1.7417468387985229,0.2907969881916046,0.0,0.0,45.63,2.2704324401855467,0.0,11.52794143131801,0.5590073210852486,0.0021674899949825238,0.011580851953075769,0.6479108282519729,0.8582061221227621,0.6094740758771482,0.8879919680183196,0.1120080319816804,2.0115808519530813,0.0,0.0,0.0
4,0.049889049115077,warm-up,0,0,1.8047901029205322,1.8047901029205322,0.30962612159729,0.0,0.0,40.49,2.5746430797576902,0.0,11.4037047794887,0.5745369025639124,0.003920563438441604,0.013005695300290583,0.6480456649342461,0.8578564578005116,0.6094436129493177,0.876445516982042,0.12355448301795803,2.0130056953002833,0.0,0.0,0.0
5,0.04980286753286195,warm-up,0,0,1.8577447053527831,1.8577447053527831,0.32304309862136843,0.0,0.0,40.89,2.524026568222046,0.0,12.440004757472447,0.44499940531594406,0.0014845319383312017,0.014276265386236574,0.6487945825852397,0.8589753836317136,0.6104422285581184,0.8689990364529593,0.13100096354704074,2.0142762653862363,0.0,0.0,0.0
6,0.04969220851487845,warm-up,0,0,1.9040252881240844,1.9040252881240844,0.3347436232471466,0.0,0.0,40.81,2.529402159118652,0.0,11.29930305480957,0.5875871181488037,0.0033491242627081063,0.014107865280130224,0.6481688665154645,0.8574268702046036,0.6091861040390971,0.8633749430136912,0.13662505698630878,2.01410786528013,0.0,0.0,0.0
7,0.049557181268217225,warm-up,0,0,1.9300287172698976,1.9300287172698976,0.343964859161377,0.0,0.0,39.57,2.5897479816436766,0.0,11.63233130318778,0.5459585871015276,0.0026323763886466622,0.014985893478601867,0.6486438532619525,0.8576666400255755,0.6098314363633275,0.8601884380021059,0.13981156199789413,2.0149858934786007,0.0,0.0,0.0
8,0.049397919048468686,warm-up,0,0,1.9540517282867431,1.9540517282867431,0.3513279179954529,0.0,0.0,41.13,2.4904033794403078,0.0,11.722743715558734,0.5346570355551583,0.003358654295360403,0.015092489483755519,0.6483055190052218,0.8576866208439897,0.6094504190832758,0.8569722343283845,0.1430277656716154,2.015092489483757,0.0,0.0,0.0
9,0.04921457902821578,warm-up,0,0,1.9622657830047607,1.9622657830047607,0.35702418424606325,0.0,0.0,37.69,2.6650541030883788,0.0,11.96074880872454,0.5049063989094325,0.0022013589904028258,0.015478486559692462,0.6479473527892471,0.8585857576726342,0.6094399439480603,0.8552910972891561,0.14470890271084388,2.0154784865596964,0.0,0.0,0.0
10,0.04900734214192358,warm-up,0,0,1.9707431118392944,1.9707431118392944,0.35983704955101015,0.0,0.0,39.05,2.591146599197388,0.0,11.674812725612096,0.540648409298488,0.0023590580676682293,0.015308258502961978,0.647977380725124,0.8585358056265985,0.6096471386492405,0.8535214919415887,0.1464785080584114,2.0153082585029582,0.0,0.0,0.0
11,0.048776412907378844,projection,0,0,1.9648707123565674,1.9648707123565674,0.3606042981624603,0.0,0.0,40.02,2.612104195022583,0.0,8.515401022774833,0.9355748721531458,0.019229428110910312,0.015269892540229773,0.6483735533626488,0.8584159207161125,0.6094914522317364,0.854378248800707,0.14562175119929302,2.0152698925402293,0.0,0.0,0.0
12,0.04852201922385564,projection,0,0,1.9744742511749267,1.9744742511749267,0.364141676158905,0.0,0.0,40.37,2.5554283267974855,0.0,10.15925339290074,0.7300933258874076,0.007725813775323331,0.02053706807562119,0.6486133612177866,0.8586057384910486,0.6101870493358358,0.8523176035765186,0.1476823964234813,2.020537068075626,0.0,0.0,0.0
13,0.04824441214720629,projection,0,0,1.9677747914123536,1.9677747914123536,0.36600096061706544,0.0,0.0,42.14,2.4583560970306397,0.0,10.238615308489118,0.7201730864388602,0.007127779951718237,0.017050865289899252,0.6481336833875807,0.85775655370844,0.6090030090507034,0.8526687884269772,0.1473312115730227,2.0170508652899004,0.0,0.0,0.0
14,0.04794386564209953,projection,0,0,1.9600334341430663,1.9600334341430663,0.3667558646392822,0.0,0.0,40.82,2.5048630149841307,0.0,11.210930960518974,0.5986336299351283,0.004408280024238463,0.016843432156274,0.6484666900409152,0.8582161125319693,0.6098676322366271,0.8529490182924149,0.14705098170758513,2.0168434321562785,0.0,0.0,0.0
15,0.04762067631165049,projection,0,0,1.9544631898498535,1.9544631898498535,0.36814333269119265,0.0,0.0,41.45,2.45949641494751,0.0,10.745237486703056,0.656845314162118,0.005310219745816929,0.01600750033660272,0.6473713129987497,0.8586956521739131,0.6090383611981521,0.8531498367066883,0.14685016329331166,2.0160075003366065,0.0,0.0,0.0
16,0.047275163104709195,joint,0,0,2.2069407153320313,2.2069407153320313,0.3913720497894287,0.0,0.0,17.3,4.193577024841309,0.5998883928571429,8.229011399405342,0.9713735750743322,0.02506132630099143,0.12770930946971149,0.6472848717056577,0.8578264865728901,0.6085685345980213,0.8261062865671904,0.17389371343280957,2.127709309469707,0.0,0.0,0.0
17,0.04690766700109659,joint,0,1,2.7714455269622804,2.7714455269622804,0.48896751728057863,0.0,0.0,21.16,4.186137732696533,0.5998883928571429,8.0,1.0,0.027762011225734438,0.24090841900865947,0.6485623660142464,0.85856577685422,0.6100347237971128,0.7657091638163838,0.23429083618361626,2.240908419008667,0.0,0.0,0.0
18,0.046518550675098594,joint,1,1,2.602753230056763,2.5870649393463134,0.45299221177101134,0.01568828851342201,5.2743369527661345e-08,28.51,3.25743244934082,0.5998883928571429,7.999999931880406,1.0,0.027578298800757954,0.2398670474239512,0.6481429429920128,0.8574168797953964,0.609364486563846,0.7842249344376957,0.21577506556230433,2.239867047423953,0.006897588535120794,0.0346046882202518,0.00022140770209865047
19,0.04610819813755038,joint,1,1,2.5139832189941407,2.4988171849823,0.4374839607524872,0.015166030749976635,5.114732568813451e-08,31.34,3.0248760848999026,0.5998883928571429,8.0,1.0,0.027949285560420582,0.23898344585691736,0.6486239805245948,0.8577265824808185,0.6098341843508699,0.7925098128330982,0.20749018716690182,2.238983445856912,0.006910754703326479,0.03464330768797937,0.0002170981965808091
20,0.04567701435686405,joint,1,0,2.479918459854126,2.450235210952759,0.4282796788597107,0.02968325116276741,1.0092294275182211e-07,33.36,2.911814296722412,0.5998883928571429,8.0,1.0,0.028605555250708545,0.23863510691673398,0.6482542903374529,0.8568374360613811,0.6091593836274598,0.7971061625139183,0.20289383748608172,2.238635106916734,0.013819945873758163,0.0692572556886644,0.0004291458376519138
21,0.04522542485937369,joint,1,0,2.44131423576355,2.4119973470306397,0.4225129806137085,0.02931688499212265,1.0024527188761567e-07,33.71,2.9301128005981445,0.5998883928571429,8.0,1.0,0.02927403591041054,0.2385261954317586,0.6489697569014167,0.8568973785166241,0.6100302183109781,0.8001640864345424,0.19983591356545763,2.238526195431763,0.013837187993631768,0.06933687498766626,0.0004265306687509756
22,0.04475387530939226,joint,1,0,2.4099728537750242,2.3810535794830323,0.4168762833881378,0.02891927361011505,9.973675712444674e-08,35.96,2.776985515975952,0.5998883928571429,8.0,1.0,0.029962447671485797,0.23841282629530808,0.6489301123430052,0.8580562659846548,0.6101512550697912,0.8033032197781536,0.1966967802218464,2.2384128262953156,0.013838384245878325,0.06933590628753822,0.0004233494720198921
23,0.044262831069394735,joint,1,0,2.3827650273132326,2.354056888885498,0.4142757378578186,0.028708136768341063,9.929714242844057e-08,33.63,2.927410019302368,0.5998883928571429,8.0,1.0,0.030540690823857273,0.2383943519848864,0.6482815030590653,0.858755594629156,0.6094882768743178,0.8055531981656009,0.19444680183439914,2.2383943519848923,0.013824965895445313,0.06926727355831253,0.00042067456285548477
24,0.043752776740761494,joint,1,0,2.3623634767913817,2.3338305935668946,0.41206578172683717,0.028532881368398665,9.895896221905786e-08,35.39,2.801191454696655,0.5998883928571429,8.0,1.0,0.03115019528195262,0.23836688695641906,0.6477006382649512,0.8567774936061381,0.6087893067342242,0.8075625779073866,0.19243742209261336,2.2383668869564217,0.01381297566275697,0.06920585603772891,0.00041837829086241614
25,0.04322421568553529,joint,1,0,2.34077477394104,2.3123086291503907,0.41067450127601623,0.02846614501655102,9.909119461326554e-08,36.77,2.7668587615966795,0.5998883928571429,8.0,1.0,0.03160954626010997,0.23842757839907242,0.6485334474717259,0.8583160166240409,0.6095398878273757,0.808784176855136,0.19121582314486393,2.238427578399071,0.013829644796056324,0.06929308687321792,0.00041778066594236194
26,0.04267766952966369,joint,1,0,2.3214433267974854,2.293097953262329,0.40983802327156066,0.028345372540950774,9.884368493885631e-08,37.84,2.6799356914520263,0.5998883928571429,8.0,1.0,0.03200192456798894,0.23834472996528788,0.6470096634172112,0.8573669277493606,0.60803827498575,0.8109907141274504,0.18900928587254967,2.2383447299652866,0.013798642777433635,0.06913266473149032,0.00041458248008167427
