epoch,lr,train_total,train_ce,train_kl,train_kd_term,test_acc,test_loss,group_sparsity
1,0.05,2.0158656609344483,3.0963070918273927,0.05846401453495026,0.9354242325592041,50.79,2.3663471950531005,0.0
2,0.04998766400914329,1.165170249938965,2.0093732164764404,0.020060455343723298,0.32096728549957276,49.5,2.1320624298095705,0.0
3,0.04995066821070679,1.0442043793869018,1.8301128526306152,0.016143494259119033,0.25829590814590453,48.04,2.197740458679199,0.0
4,0.049889049115077,1.0394137832832337,1.811785602760315,0.016690122908353807,0.2670419665336609,46.88,2.263089917755127,0.0
5,0.04980286753286195,1.0510439446258546,1.8245292083740234,0.017347417557239533,0.2775586809158325,46.08,2.309793585205078,0.0
6,0.04969220851487845,1.060617689781189,1.8346755075073242,0.0179099920886755,0.286559873418808,45.78,2.3046684299468994,0.0
7,0.049557181268217225,1.0721891064071656,1.84865109375,0.018482944626808166,0.29572711402893065,43.65,2.4290857269287107,0.0
8,0.049397919048468686,1.0777758518981932,1.8557430095672607,0.018738043226003646,0.29980869161605833,44.76,2.3452991931915284,0.0
9,0.04921457902821578,1.0810898478317261,1.859029465637207,0.018946889414787293,0.3031502306365967,44.65,2.3357191246032714,0.0
10,0.04900734214192358,1.0832305877304078,1.8612430073928834,0.01907613555967808,0.30521816895484927,46.42,2.320289254760742,0.0
11,0.048776412907378844,1.079471330718994,1.8540807307434082,0.019053870612978936,0.30486192980766297,45.18,2.3324413040161134,0.0
12,0.04852201922385564,1.080715703048706,1.8550916133880615,0.019146236972808837,0.3063397915649414,46.28,2.280367053222656,0.0
13,0.04824441214720629,1.0755902237701416,1.8427627686309815,0.019276104852557183,0.30841767764091493,44.18,2.399631395339966,0.0
14,0.04794386564209953,1.0752400607681274,1.8432702137756347,0.019200619097948075,0.3072099055671692,45.4,2.3153949977874757,0.0
15,0.04762067631165049,1.072824050140381,1.839096938896179,0.019159447546005248,0.30655116073608396,47.76,2.218450704574585,0.0
16,0.047275163104709195,1.2469093854522706,2.0655893691253664,0.026764337694644928,0.42822940311431884,13.75,4.76696354675293,0.5998883928571429
17,0.04690766700109659,1.6447070746231078,2.591023860015869,0.043649393310546875,0.69839029296875,31.96,3.0272813659667968,0.5998883928571429
